"id","nome","curso","periodo","nota_p1","nota_p2","frequencia","horas_estudo","modalidade","cidade","status"
1,"Ingrid Teixeira","Medicina",3,5.8,6.6,77,3,"Presencial","Anapolis","Ativo"
2,"Wagner Moura","Fisioterapia",3,7.8,7.1,65,11,"Hibrido","Goiania","Ativo"
3,"Wanda Mendes","Fisioterapia",5,6,6.9,82,9,"Presencial","Goiania","Ativo"
4,"Thiago Fernandes","Fisioterapia",6,4.7,6.3,79,6,"Presencial","Aparecida de Goiania","Ativo"
5,"Julia Farias","Fisioterapia",2,6.2,9,78,4,"Hibrido","Anapolis","Ativo"
6,"Natalia Farias","Medicina",2,7.4,6.8,71,4,"Presencial","Brasilia","Ativo"
7,"Kevin Barbosa","ADS",10,3.9,5.2,100,7,"Presencial","Rio Verde","Ativo"
8,"Hugo Andrade","Enfermagem",9,7.5,7.3,77,8,"Online","Brasilia","Ativo"
9,"Bruno Alves","Enfermagem",10,8.7,5.3,100,7,"Presencial","Goiania","Ativo"
10,"Patricia Cruz","ADS",5,5.8,,70,3,"Online","Goiania","Formado"
11,"Xavier Azevedo","Fisioterapia",5,7.4,7.9,51,3,"Presencial","Anapolis","Ativo"
12,"Mateus Alves","Medicina",7,10,8.5,71,7,"Online","Aparecida de Goiania","Ativo"
13,"Gustavo Lima","Enfermagem",7,5.5,7.2,79,2,"Online","Aparecida de Goiania","Cancelado"
14,"Beatriz Ribeiro","Fisioterapia",6,7.5,10,66,8,"Presencial","Anapolis","Ativo"
15,"Breno Gomes","Medicina",2,6.3,6.1,73,10,"Presencial","Goiania","Ativo"
16,"Marina Machado","Fisioterapia",4,6,8.4,64,3,"Presencial","Rio Verde","Formado"
17,"Ingrid Andrade","ADS",7,2.8,5.9,76,5,"Online","Goiania","Formado"
18,"Alice Lopes","Enfermagem",9,6,6.4,63,5,"Presencial","Goiania","Concluinte"
19,"Vanessa Nascimento","ADS",3,6.3,8.5,81,4,"Presencial","Aparecida de Goiania","Trancado"
20,"Nadia Almeida","Fisioterapia",1,7.8,7.4,92,5,"Hibrido","Goiania","Ativo"
21,"Breno Pires","Fisioterapia",8,5.2,7.1,84,4,"Presencial","Aparecida de Goiania","Ativo"
22,"Marcelo Vieira","ADS",2,3.7,4.1,79,5,"Online","Anapolis","Trancado"
23,"Breno Ribeiro","Medicina",8,7,6.9,97,8,"Presencial","Goiania","Transferido"
24,"Wagner Carvalho","Fisioterapia",5,5,4.3,77,8,"Presencial","Goiania","Transferido"
25,"Marcelo Moura","Enfermagem",4,6.4,5.7,76,11,"Presencial","Aparecida de Goiania","Ativo"
26,"Kevin Dias","Medicina",10,6.3,6.5,64,2,"Online","Anapolis","Ativo"
27,"Julia Barbosa","Fisioterapia",10,6.6,6.4,84,7,"Online","Anapolis","Trancado"
28,"Xavier Lopes","Enfermagem",2,4.6,7.6,91,6,"Hibrido","Goiania","Ativo"
29,"Camila Lopes","Enfermagem",3,7.8,10,68,3,"Hibrido","Brasilia","Ativo"
30,"Marcelo Mendes","ADS",3,6.5,9,98,10,"Online","Anapolis","Trancado"
31,"Diego Farias","Medicina",6,7.5,7.3,70,3,"Presencial","Brasilia","Ativo"
32,"Henrique Oliveira","Enfermagem",2,9,10,68,7,"Presencial","Brasilia","Ativo"
33,"Olivia Martins","Fisioterapia",6,7.5,9.5,92,6,"Presencial","Goiania","Ativo"
34,"Ricardo Ferreira","ADS",4,3.4,8.9,73,2,"Presencial","Anapolis","Ativo"
35,"Henrique Ribeiro","Fisioterapia",1,9.1,5.8,98,5,"Presencial","Anapolis","Ativo"
36,"Julio Pereira","Enfermagem",6,6.9,6.4,91,7,"Presencial","Brasilia","Ativo"
37,"Marcelo Barbosa","Medicina",1,3.4,3.6,52,6,"Presencial","Brasilia","Ativo"
38,"Ingrid Pereira","ADS",3,4.8,5.8,74,1,"Presencial","Brasilia","Ativo"
39,"Tiago Rodrigues","Medicina",4,7.3,7.5,69,8,"Online","Anapolis","Transferido"
40,"Xavier Cruz","ADS",5,3.6,5.5,68,6,"Presencial","Brasilia","Ativo"
41,"Mateus Farias","Enfermagem",9,7.6,6.1,81,2,"Hibrido","Brasilia","Concluinte"
42,"Gabriela Farias","Medicina",9,4.7,4.4,73,8,"Online","Anapolis","Ativo"
43,"Carla Tavares","Enfermagem",5,7.8,9.6,40,7,"Presencial","Goiania","Ativo"
44,"Karina Ribeiro","Fisioterapia",5,7.7,7.9,83,4,"Hibrido","Brasilia","Ativo"
45,"Vitor Lopes","Medicina",3,5.1,5.1,90,6,"Presencial","Goiania","Concluinte"
46,"Livia Souza","Medicina",9,9,5.9,79,11,"Presencial","Anapolis","Ativo"
47,"Gabriela Souza","Fisioterapia",1,3.7,6.5,84,4,"Presencial","Anapolis","Trancado"
48,"Sandra Barbosa","Fisioterapia",6,5.3,5.4,72,5,"Presencial","Brasilia","Afastado"
49,"Julia Alves","ADS",9,6.5,8.4,70,7,"Online","Rio Verde","Ativo"
50,"Isabela Pereira","Enfermagem",5,6.2,8.4,89,7,"Presencial","Goiania","Ativo"
51,"Renato Araujo","Fisioterapia",6,6.9,8.4,86,3,"Hibrido","Anapolis","Formado"
52,"Mateus Antunes","Enfermagem",9,8,7.2,85,5,"Online","Goiania",""
53,"Carla Gomes","Enfermagem",1,5.2,9.1,51,6,"Online","Goiania","Ativo"
54,"Olivia Costa","Medicina",4,4.2,6.4,89,7,"Hibrido","Anapolis","Ativo"
55,"Larissa Campos","Enfermagem",1,7.2,6.1,80,5,"Presencial","Brasilia","Transferido"
56,"Ingrid Martins","ADS",6,7.5,8.3,97,6,"Presencial","Goiania","Ativo"
57,"Kevin Andrade","Medicina",5,6,9.1,83,6,"Presencial","Anapolis","Ativo"
58,"Bruno Lopes","Enfermagem",3,3.2,8.7,80,1,"Online","Anapolis","Ativo"
59,"Xavier Oliveira","ADS",1,7,7.8,100,1,"Presencial","Goiania","Trancado"
60,"Caio Monteiro","Fisioterapia",5,3.7,8,100,6,"Presencial","Goiania","Formado"
61,"Sandra Azevedo","Fisioterapia",1,5.2,5.8,85,5,"Presencial","Anapolis","Ativo"
62,"Mateus Tavares","Enfermagem",3,6,6.5,77,3,"Presencial","Aparecida de Goiania","Ativo"
63,"Paula Cruz","Medicina",2,3.7,5.5,67,9,"Online","Goiania","Transferido"
64,"Igor Fernandes","Fisioterapia",10,9.6,3,77,1,"Presencial","Brasilia","Ativo"
65,"Nadia Antunes","Enfermagem",9,6.5,10,95,7,"Online","Anapolis","Cancelado"
66,"Beatriz Rocha","Enfermagem",2,6.8,8,83,5,"Hibrido","Brasilia","Ativo"
67,"Fabio Azevedo","Medicina",1,8.9,4.3,67,6,"Online","Anapolis","Concluinte"
68,"Vanessa Santos","Medicina",7,5.1,3.6,85,5,"Online","Rio Verde","Ativo"
